Year,Student_ID,Gender,State,Assignment,Midterm1,Midterm2,Quiz,Total CourseWorkmarks,Final Marks,Total Marks,Grade
2019,1,Female,Pahang,20,8,7,4,39,28,67,B
2016,2,Male,Kedah,18,4,7,3,32,24,56,C
2012,3,Male,Malacca,18,7,7,2,34,29,63,B
2016,4,Female,Kelantan,15,7,5,1,28,31,59,C
2019,5,Male,Perak,17,3,7,3,30,29,59,C
2017,6,Male,Johor,18,9,10,2,39,33,72,B
2012,7,Female,Negeri Sembilan,13,6,6,3,28,27,55,C
2016,8,Female,Sarawak,16,8,8,4,36,28,64,B
2017,9,Female,Negeri Sembilan,19,3,7,5,34,24,58,C
2018,10,Male,Terengganu,20,6,3,1,30,25,55,C
2012,11,Male,Malacca,17,6,7,2,32,39,71,B
2018,12,Female,Pahang,18,5,8,2,33,34,67,B
2017,13,Male,Sabah,16,7,7,5,35,38,73,B
2016,14,Male,Negeri Sembilan,21,10,3,4,38,30,68,B
2014,15,Male,Sabah,13,8,9,3,33,23,56,C
2016,16,Male,Johor,14,10,5,3,32,37,69,B
2015,17,Male,Pahang,20,9,7,4,40,29,69,B
2019,18,Male,Sarawak,14,6,10,5,35,28,63,B
2017,19,Female,Perak,14,9,9,3,35,33,68,B
2017,20,Female,Selangor,20,4,5,3,32,34,66,B
2017,21,Female,Malacca,21,8,8,2,39,40,79,A
2017,22,Male,Perak,15,9,4,4,32,31,63,B
2017,23,Female,Sarawak,18,7,7,4,36,38,74,B
2018,24,Female,Sabah,17,5,6,3,31,28,59,C
2019,25,Male,Negeri Sembilan,17,6,4,5,32,30,62,B
2013,26,Male,Perak,20,10,6,4,40,38,78,B
2018,27,Male,Sabah,17,4,9,2,32,32,64,B
2015,28,Female,Selangor,17,10,6,2,35,37,72,B
2017,29,Male,Terengganu,14,9,3,5,31,23,54,C
2019,30,Male,Perak,14,9,9,4,36,28,64,B
2017,31,Male,Johor,17,6,7,1,31,28,59,C
2013,32,Female,Sabah,13,3,3,1,20,31,51,C
2012,33,Female,Perak,13,4,6,5,28,33,61,B
2012,34,Female,Kelantan,21,9,8,4,42,32,74,B
2016,35,Male,Malacca,19,5,10,1,35,39,74,B
2016,36,Male,Selangor,14,8,3,5,30,35,65,B
2019,37,Female,Negeri Sembilan,17,9,8,3,37,33,70,B
2016,38,Female,Selangor,21,7,9,4,41,38,79,A
2015,39,Female,Malacca,20,10,6,1,37,35,72,B
2014,40,Male,Perlis,13,9,5,3,30,22,52,C
2013,41,Male,Negeri Sembilan,13,7,4,2,26,25,51,C
2013,42,Male,Selangor,20,4,8,2,34,24,58,C
2019,43,Male,Sarawak,19,7,9,2,37,37,74,B
2019,44,Male,Kelantan,19,10,6,2,37,32,69,B
2019,45,Male,Selangor,16,8,7,5,36,24,60,B
2014,46,Male,Pahang,15,10,8,1,34,22,56,C
2016,47,Male,Kelantan,13,10,5,1,29,30,59,C
2019,48,Male,Pahang,18,5,4,5,32,26,58,C
2013,49,Male,Kedah,19,4,6,3,32,25,57,C
2014,50,Male,Sabah,15,5,7,4,31,38,69,B
2016,51,Male,Malacca,18,5,4,2,29,30,59,C
2013,52,Female,Perak,21,6,4,2,33,37,70,B
2013,53,Male,Kelantan,20,7,4,2,33,28,61,B
2016,54,Female,Pahang,14,7,5,4,30,22,52,C
2019,55,Male,Johor,16,4,8,3,31,23,54,C
2014,56,Male,Sarawak,14,7,6,4,31,25,56,C
2013,57,Male,Selangor,17,3,4,4,28,36,64,B
2014,58,Female,Pahang,18,3,8,1,30,40,70,B
2012,59,Female,Pahang,13,4,7,2,26,24,50,C
2014,60,Male,Malacca,16,10,10,3,39,32,71,B
2012,61,Female,Terengganu,16,8,3,2,29,28,57,C
2015,62,Male,Penang,21,8,4,5,38,25,63,B
2016,63,Male,Perlis,20,9,6,4,39,29,68,B
2014,64,Female,Sarawak,13,9,9,2,33,27,60,B
2015,65,Male,Selangor,20,10,6,4,40,22,62,B
2012,66,Female,Perak,19,8,3,4,34,29,63,B
2018,67,Female,Sabah,18,9,3,1,31,30,61,B
2012,68,Male,Perlis,16,6,5,4,31,33,64,B
2013,69,Female,Penang,20,6,5,2,33,22,55,C
2015,70,Female,Kedah,16,10,8,5,39,31,70,B
2017,71,Male,Sarawak,17,9,5,2,33,38,71,B
2015,72,Female,Perlis,15,10,6,1,32,32,64,B
2018,73,Female,Selangor,13,3,3,2,21,32,53,C
2012,74,Male,Sarawak,17,4,9,3,33,26,59,C
2013,75,Female,Selangor,14,8,3,5,30,22,52,C
2014,76,Female,Perlis,21,10,8,3,42,22,64,B
2018,77,Male,Kelantan,15,9,7,5,36,29,65,B
2014,78,Male,Pahang,21,7,6,4,38,36,74,B
2016,79,Male,Malacca,13,4,7,3,27,33,60,B
2017,80,Male,Malacca,17,10,3,3,33,38,71,B
2015,81,Male,Malacca,19,4,7,1,31,34,65,B
2018,82,Female,Kelantan,13,6,4,4,27,22,49,F
2013,83,Female,Sarawak,19,9,3,2,33,40,73,B
2017,84,Female,Pahang,13,6,9,1,29,32,61,B
2016,85,Male,Terengganu,20,5,3,2,30,37,67,B
2014,86,Male,Perlis,21,10,5,2,38,25,63,B
2019,87,Female,Johor,17,3,6,3,29,30,59,C
2012,88,Female,Perlis,16,4,8,2,30,37,67,B
2017,89,Female,Kelantan,20,9,8,2,39,28,67,B
2019,90,Male,Kelantan,21,10,6,3,40,22,62,B
2012,91,Male,Perak,21,8,6,2,37,39,76,B
2015,92,Female,Penang,18,5,5,1,29,34,63,B
2016,93,Male,Perak,14,5,10,2,31,38,69,B
2017,94,Female,Perak,20,9,3,4,36,40,76,B
2018,95,Male,Johor,15,8,10,2,35,26,61,B
2012,96,Female,Perak,14,4,7,3,28,22,50,C
2012,97,Female,Sabah,18,10,9,4,41,28,69,B
2016,98,Male,Perak,14,10,9,3,36,22,58,C
2015,99,Male,Perlis,15,4,6,2,27,30,57,C
2014,100,Male,Terengganu,19,8,8,5,40,34,74,B
2018,101,Male,Malacca,13,8,5,4,30,35,65,B
2015,102,Female,Sarawak,19,9,10,5,43,34,77,B
2012,103,Male,Johor,16,4,6,5,31,38,69,B
2016,104,Male,Selangor,18,8,3,3,32,30,62,B
2016,105,Female,Malacca,13,5,5,4,27,35,62,B
2019,106,Female,Johor,21,5,3,1,30,23,53,C
2018,107,Female,Sarawak,13,5,10,3,31,28,59,C
2013,108,Male,Terengganu,18,8,10,3,39,31,70,B
2017,109,Female,Negeri Sembilan,19,3,5,4,31,33,64,B
2013,110,Female,Perlis,19,8,5,1,33,24,57,C
2015,111,Male,Pahang,17,9,3,3,32,34,66,B
2014,112,Male,Johor,21,3,8,1,33,40,73,B
2012,113,Male,Perlis,19,3,7,3,32,34,66,B
2014,114,Male,Sarawak,18,3,7,4,32,25,57,C
2012,115,Male,Malacca,17,4,5,4,30,40,70,B
2014,116,Female,Sabah,13,5,8,5,31,36,67,B
2017,117,Male,Malacca,20,4,8,5,37,38,75,B
2018,118,Female,Johor,21,8,7,3,39,33,72,B
2017,119,Female,Johor,21,6,9,3,39,40,79,A
2015,120,Male,Kelantan,21,7,10,2,40,34,74,B
2015,121,Female,Penang,16,6,5,4,31,26,57,C
2013,122,Male,Kelantan,13,8,10,1,32,23,55,C
2014,123,Male,Penang,19,8,5,2,34,28,62,B
2015,124,Female,Sarawak,13,9,6,4,32,40,72,B
2018,125,Female,Johor,13,8,5,2,28,40,68,B
2014,126,Male,Sarawak,20,4,4,1,29,32,61,B
2013,127,Male,Johor,19,6,6,5,36,23,59,C
2015,128,Male,Johor,14,7,3,5,29,29,58,C
2016,129,Female,Selangor,14,4,5,4,27,26,53,C
2018,130,Male,Terengganu,19,4,9,2,34,38,72,B
2019,131,Female,Pahang,14,9,3,3,29,35,64,B
2014,132,Female,Pahang,18,7,3,4,32,36,68,B
2017,133,Male,Negeri Sembilan,16,7,7,1,31,32,63,B
2014,134,Female,Sabah,14,4,4,3,25,31,56,C
2013,135,Male,Malacca,18,5,3,4,30,26,56,C
2014,136,Male,Penang,18,5,6,1,30,22,52,C
2019,137,Male,Kedah,19,6,8,4,37,23,60,B
2019,138,Male,Sabah,18,7,9,2,36,23,59,C
